TIME_PERIOD,EXPORT,IMPORT
1999,23472478567,24554922015
2000,28477219503,32138614070
2001,30847673131,34113659405
2002,30127153682,31978792027
2003,30821854003,30839015798
2004,32445841590,30878025433
2005,37189760744,38219142701
2006,42246474813,42949943322
2007,47349903381,46391761125
2008,52040241490,58398435609
2009,45945577219,41177209428
2010,53951257674,50642825625
2011,64869509724,69037117632
2012,66976452426,74451863516
2013,69420871529,70936765097
2014,69656719119,72394487938
2015,69335403468,63433970226
2016,60734343791,52325596426
2017,65280961104,56333745457
2018,67045140771,66151402165
2019,69201264567,69030682134
2020,59539987103,54300664330
2021,69522325200,67511502316
2022,90530291682,107412500009
2023,80890114309,88940954005
2024,74392051033,85532660308
