TIME_PERIOD,EXPORT,IMPORT
1999,50238867610,49044657218
2000,58490768238,70331433833
2001,62408563750,71402772391
2002,61654666977,66391745056
2003,61629930660,67135848137
2004,67157959741,71524471598
2005,77520762128,92057586787
2006,81816414654,103651871144
2007,92604716381,107301624902
2008,107141512334,133510448671
2009,98128639495,97241185198
2010,113273245325,121210621092
2011,121971941335,131596875939
2012,135219789354,160811150655
2013,140134950609,145836434643
2014,140442639532,136497887027
2015,140855125111,115998686770
2016,131731023438,99776985072
2017,136471501105,114611689067
2018,140288239226,133419527893
2019,142432137114,135612948385
2020,123040033975,99467541795
2021,143883387986,142205479157
2022,177085634454,225113649524
2023,166984034515,194970906989
2024,163977714096,188628383939
