TIME_PERIOD,EXPORT,IMPORT
1999,26766389043,24489735203
2000,30013548735,38192819763
2001,31560890619,37289112986
2002,31527513295,34412953029
2003,30808076657,36296832339
2004,34712118151,40646446165
2005,40331001384,53838444086
2006,39569939841,60701927822
2007,45254813000,60909863777
2008,55101270844,75112013062
2009,52183062276,56063975770
2010,59321987651,70567795467
2011,57102431611,62559758307
2012,68243336928,86359287139
2013,70714079080,74899669546
2014,70785920413,64103399089
2015,71519721643,52564716544
2016,70996679647,47451388646
2017,71190540001,58277943610
2018,73243098455,67268125728
2019,73230872547,66582266251
2020,63500046872,45166877465
2021,74361062786,74693976841
2022,86555342772,117701149515
2023,86093920206,106029952984
2024,89585663063,103095723631
