TIME_PERIOD,"vegetables, minerals",refined
1999,640909125.0138807,-275223648.56232893
2000,1357926756.053477,-336039125.2417413
2001,1233880142.6290545,-317572884.53340447
2002,1027769237.2654077,-319679580.671857
2003,1263285778.8436105,-299102460.65274364
2004,1197576473.6397617,-341237892.45378494
2005,1670194249.3010879,-402359549.5910872
2006,2006381138.9977589,-427865016.88519424
2007,1798273309.8429887,-426979785.7623031
2008,2373455237.847483,-610499577.8336946
2009,1710017532.5284743,-622103054.6130239
2010,1826361602.827308,-524835056.1245681
2011,1766074236.890336,-574011841.9737532
2012,2623627319.5308414,-707973300.1676149
2013,2033352065.7328537,-670587781.282655
2014,1696760833.797732,-596215635.2652802
2015,1208488013.34459,-597949392.6644633
2016,759925502.1260782,-447657583.56714594
2017,969597109.7666638,-471004279.3589658
2018,1285794622.386534,-456115232.56565005
2019,1318254473.9315984,-404657556.5975679
2020,735984828.5047432,-380258862.5431392
2021,1099600547.1195397,-436490779.93961227
2022,2173226428.0582266,-360722022.505052
2023,1814942882.1648817,-482244706.5422521
2024,1644053397.480512,-342527326.47898024
