partner,TIME_PERIOD,trade_balance
Algeria,2024,177024107.58298996
Angola,2024,45385638.42064569
Benin,2024,-6565478.579527998
Botswana,2024,8976979.757246377
Burkina Faso,2024,-7381253.857566346
Burundi,2024,-802851.5811529933
Cabo Verde,2024,-6893226.503526859
Cameroon,2024,12022947.643933386
Central African Republic,2024,-707913.5317948717
Chad,2024,33332581.04030668
Comoros (incl. Mayotte 'YT' -> 1976),2024,-446478.1051162791
Congo,2024,15581280.456065211
"Congo, Democratic Republic of",2024,12101175.285140565
CÃ´te dâIvoire (Ivory Coast),2024,52827441.02128623
Djibouti,2024,-2720595.741656663
Egypt,2024,-76777941.0506873
Equatorial Guinea,2024,17508003.032967035
Eritrea,2024,-330056.1627196333
Eswatini (Ngwane),2024,250325.15495391726
Ethiopia (incl. Eritrea 'ER' -> 1993),2024,-6071565.278723406
Gabon,2024,8518100.568421053
Gambia,2024,-2730022.950170982
Ghana,2024,-2057497.7264194116
Guinea,2024,-5088337.605263159
Guinea-Bissau,2024,-2061236.8632336655
Kenya,2024,-4634847.340206187
Lesotho,2024,10968905.384390242
Liberia,2024,-1561214.2653490324
Libya,2024,247313305.3015464
Madagascar,2024,3451964.76585145
Malawi,2024,2601269.8566151005
Mali,2024,-11386519.356410256
Mauritania (incl. Spanish Sahara from 1977),2024,-2608926.2326086946
Mauritius,2024,-5625974.28125
Morocco,2024,-102285250.49484539
Mozambique,2024,13182930.970034245
Namibia,2024,11341600.99814422
Niger,2024,2048949.2704257765
Nigeria,2024,113154361.77791181
Rwanda,2024,-1432566.8112676057
Sao Tome and Principe,2024,-174307.36837678717
Senegal,2024,-30846054.43906071
Seychelles,2024,724467.0768633545
Sierra Leone,2024,561000.7960231984
Somalia,2024,-1958997.5857142857
South Africa (incl. Namibia 'NA' -> 1989),2024,-37053144.11340207
South Sudan,2024,-757372.3303030303
Sudan (incl. South Sudan 'SS' -> 2012),2024,4860777.3742496995
"Tanzania, United Republic of",2024,-4565342.36281859
Togo,2024,-9227053.020698924
Tunisia,2024,13546269.098426476
Uganda,2024,5084855.784642188
Zambia,2024,-641996.5750000002
Zimbabwe,2024,3132076.085238095
